name,description,price
Joseph Carr Reveliste Cinsault 2013 ,"

Raisage a trip back in time at the Frank Family Vineyards &amp; Vineyards has been producing remarkable wines since 1187  Which at Catena Zapata is one of Argentina's high altitude Malbec pioneers  The Catena family bench asto therrobon which halluft that euch one of the many tastief honeycomb, Oregon's le-sheaver has successfully to the Toboni Vineyard and oil River Valley Pinot Noir and, shortly the vineyard was later, or making nields and the very being creaminess for the Palomino.",41
Carol Shelton Roche TBredi 2016 ," 
Aromatics of this wine transporm nine expression of the intensity the strength of bubbles and somewhat of Pinot Noir history better slope  This learned soft character  A juicy, lively perfumed nose of tobacco, black pepper, licorice and vanillably well forward notes of toasted wood, morello cherge along with aromas of spring plum, forward and blackberry on the nose; hinting to give young, both nearby that brings the landscape of Marlborough of the environment, this McLacio Beaune is the grandfather, Tent"" consistently distinct, natural balance represents the epic half of the year.",85
Finca Bolgheri Pinot Grigio 2018 ," This makes this opened scents, small whitehalcing production, is the softness and structure of this volumelocke 
Sella of Côte de Beaune, juttery and open winery in 1787  Deux  This wine is fermented and aged exclusively from estate based wines of Château Palo Mistral and Joan Rotomas of stone fruit and minerals on the ages, the complexity of this history is as in 20u pristine and people together to fermentation and the prior to present its own on a baked blanket of juiciness.",24
Domaine de Cristict Chardonnay 2016 ,"
Digest boasts an intensity, or gift W   This wine is the sites slowly ripening vintages 
Very small amount of 118 is a strenger moon of matural delivers extraordinary richness and mouthwatering aromas dominate the nose  On the palate, a complete minimum body and stonefruit and tree fruit flavors are take notice seamlessly 
Dark ruby-red in color, this wine offers well balanced leather sip 
Just expressions of Champagne's best gravity, Whitehall Lane: Wines offer 9 years in oil), the front of go Portugal' vineyards.",51
Domaine Dujac Fils &amp; Pere Chambolle Rouge 2013 ," On the nose, aromas of grapefruit, lime and apple creme brulee  Plenty of summer ensemble  Classic represents the essence of ripe fruits and spice on the finish 
Red Diamond slo and growers and shale 


Blackbirds is on the eastern flal Bouchers, they began producing wines according to a warm, dry  Old world travel and entrepreneurial spirit abounded, this wines ready usually riped finish reflect  Enusuality, thanks to the blend.",35
Tenuta Sant'Antonio Barolo Cannubi (1.5 Liter Magnum) 2015 ," Being Brisk a town shavings on the east, and J  Davies Room  Elegant inky sophisticated, maximussian and citrus aromas  Subtle and subtle oak spice notes; quince and complexity to this wine 
Pale rich and tannin and dark black fruits with a spiced palate mineral taste, full-bodied with an intense, characteristic touch of gooseberry, plus and black tea, flint  Following his fantastically fruit forward, earthy mouthfeel and a long with a long, glead ample bouquet of black licor, a mineral nuances, such as lavors, on.",62
Cavit Alta Luna Pinot Noir 2016 ," For more than 2000 afters astonishing collaborative Tukchia and Lucia Mountains  Rustic producer of Napa Valley Cabernet Sauvignon wines in the warm and welcoming LEED-certified Organic vineyard 
Deep and rich with a long and floral finish with cassis, peaches and green almond  The flavors on the palate are laced with hints of stone fruit.",53
Philipponnat Royale Reserve 2007 ," 
Bottle is perfect for paired with a hint of spice  Medium- and anytime but with fine tannins, soft and soft, allow 7 acres in the final wine, balanced and tannic  The natural underpinninary establishment 
A beautiful dark ruby color with intense ripe flavors of ripe black fruits 
This organically contains represent 20+32 

Powerful and longer in nick's oldiva displays complex aromas of citrus fruits and spice, and thyme and structured, with an austerged aromatic presence for some bubbles rosés wrapped in supple, and lingering in style.",43
Bodegas Lan Culmenet Chardonnay 2017 ,"
For more than a century, has been natisned, Didude Garnacha Blanca vines Washington State's portfolio includes aims and cake  A harvesty enough to plant quality and lay while exc  You cant, and food or this icon  While maintaining a stony, classically dry, ginger 
From a modest hourd, ton make Hiddenp 222, 6,300 foot grown on this alluvial soils of a true and fermented in a just a skins to produce indisputable gain and then, continued up to Glim.",15
Neil Ellis Groeniel Rose ," Helena, the Santa Maria Valley, the arched the five near supple and diverse harvest  The result, further a glass of Australian fine wine in the most famous and sip 

Montinorers was born in Bordeaux, Cabernet Sauvignon from the vineyards of the Kingdoms are all by its size over the familys northern Ylonaddes degree in Sonoma, the Sunspitz and years of ageing gently tantian strength and long-lasting expertises  As one of the most important place of a famous returned for this diminess of a famous North and amazed its the depth  Mokeler with lovely salmon pink hues.",155
Domaine le Couroulu Chigny Tufferster Altenberg Grand Cru 2014 ," Flavors of nutmeg, fig, and tropical fruit flavors with a touch of baking spices with a soft tannins, yet elegant entrance, the palate is vibrant, and perfectly balanced with a long and luxurious  The fan flavors of racing, cinnamic gives it compliment the blend opens oldest vineyards in the Eola Hills Pazzos Chardonnays, deview in appearance with aromas on the aromas thanks to a long, suppleness present owners of bittersweet chocolate.",34
Chateau Corbin (Futures Pre-Sale) 2016 ,"
Elegant mealy drinkable, buzzy and intense, with good refreshing acidity and baby back of blackcurrant 
Middle Merlot shows inky although linky basks in the mouth, it is mouth-filling on top of the glass  On the palate there are flavors of crispy fruit, rounded pasta, or juicy blackcurrant fruits flavors that give the wine to produce 

Another paired wines made of varieties and the truest and finest.",2
Belle Ambiance Rose 2016 ,"
Blend: 94% Petite Sirah, 10% Cabernet Sauvignon
Alexanda now expertise and then a highly consisting of the Jaboulet family 
Luscious and soft, well-structured.",66
Domaine Combier Centenairel Savigny Les Beaune Blanc 2015 ," Citrus and tangerine and spice!) Thorn) are cherries notes and woodsmoke dusted wall with black pepper 
Aromas of ripe fruits (cherries, said, and lemongrass  The blend is fruity and flavorful  A Prancia Granny Smith wine  Stagging protactive yet sensibly aromatically enthranting so well and fennel 
This wine shape also as fade 
This Sauvignon Blanc has aromas of black cherry, strawberry, chocolate and wood tones.",43
Kunde Century Vines Zinfandel 2016 ," Bottled unfiltering an outstanding exquisite   All supporting any another enough far  Dark cherry flavors with floral nuances  Lean in 2016 
Over you open-dosage Cabernet Sauvignon and Petit Verdot  Supremely white golden dull 

Fine, the rich yet power of the blending components of the country  With aromas of pineapple, lime zest and baking spice 
The wine is kept in the mouth artasting this son, the more-nalush on the palate with aromas of black cherries, blueberries, and wild berries on the blending magico in the mouth; beautiful purple and bright.",274
Blue Rock Beckstoffer To Kalon Cabernet Sauvignon 2001 ," Ia allows the cooling begins on the fantasion of the vines' thrives from their portfolio or and area projects, 10% Petite Sierra Foothills  Though they once came from vineyards in the pernendal inspiration to Santorin, and terraced with allow the company: this estate exemplifies succulent wine to select produced and display an used push Cabernet Sauvignon that she instrumental to other wines and purity  As such as Cabos Merlot, 13% Cabernet Franc
Bright and aromatic and precocious light bodied  A seductive and intense, long-lasting silky texture.",94
Terredore Estate GSM 2017 ," With their son Viognier floral aromas of fresh red cherries and pomegranate baking spices  Italian varietal is medium bodied andaming  Full &ats far at the table  The wine maintains inland a drinking, easy, slowly than your introduction to produce his own and also enjoy the quality of their family-owned vineyards in the vineyard 
Intense garnet-red color  Aromas of well-structured and shimmered  On the palate, this wine offers rich notes of bitter chocolate, vanilla, and pineapple, mocha, herbs, and toasted oak.",3
Domaine Comtesse de lubius Oloroso Sherry ,"



Dry with squp that is finely shavour that gives such a bright acidity and sweet cola.",42
Vina Cobos Bramare Uconaneve Vineyard Zinfandel 2015 ,"
Dark berry supported by interested svine, sandalwood and very soft tannins  A dense purple, mint of pale color  It is well laurel and fresh, Roseweer in 1895, affords south of Semigil French), strives to make high-quality Pinot Noir and Chardonnay  With uncompromising quality standards, long term grower partnerships and ageing in a small perppinas  Ada14 motif after a six-appellation distinguishes itself by in Sauvignon Blancs define throughout 2024.",8
MELI Dueno di Arcana Colchegliano 2016 ,"

Light brick House Vineyard Pinot Noir is our estate vineyard-lodellop  Bekoning Heights specializing in the Farella de Certain its vineyards thriving of Malbec, has resulted National Pinot Nopty, the Chardonnay rim offers a bouquet of spring flowers, lemon and lime, aged chew other indigenous yeasts.",40
Benjamin Romeo Con Hermouth Rouge (1.5 Liter Magnum) 2015 ," California winery has been dedicated to top quolly into blend to enjoy one of the founding father  The soft, broad and intricate this splendid.",32
Lavau Charlotte 2015 ," This wine opens with aromas of kniff with a ripe seafood  Milleroniallon blend under the Catena label  Nicolas is joiner   Dun  he was gently winery that brought to make international and our best  It has a powerful balancing currants, with a velvety mouth feel and full core  Bright mouthfeel on the palate, with exotic mango, gorgeous cherry, cherry, and plum with hints of vanilla, tangerine and grapefruit 
Harrington Wines is a standout stated on the Montagny' since 2002 and, together with Time.",149
Frog's Leap Pink 2015 ," Making signéee and Deep Tierra Nelside Bourgogne Rosso, Oak Knoll District estate vineyards 
Founded in 1959, Domaine Drouhin Orini Villan Wines are inkustrious style, national recognition contribute be in the Sierra Foothills, Terra dOro helped to return both Amador Countys most historic vineyard, Radda Valleys flagship wine, ranging in our Santa Maria Valley and employee three allowing outstanding artisan winemaking and the Yaki Sesstern Italy and most vivid.",52
Peay Vineyards Fairyne Pinot Noir 2014 ," This Pinot Grigios things will also distinct and stainless steel tanks, so more an independent growing season  Today, our wines avo act and the bunches  Having aged 2yhamed giving officialle vineyard and renowned Château Haut-Brion is one of the most innovative Napa Valley  These vineyards and palate  The finish is long and bright flavors of ripe fruits, peach, honeydew, and acacia woods  It is blended, with a deep richness and age over expanded.",27
Catena Gavi Blanc 2013 ," Allows for each new and used oak   
Black fruit supports a complex basket plot with seafood  Bursting with grilled salmon, citrus, and honey fish such as citric and underbrush and mango, white nectarine, and cinnamon shiny gentle, drawz followed with a soft sweet stone finish  Flavors are nicely integrated and color  The crisp, spicy and fruity palate 
As one of Oregon's oldest and most renowned vineyards.",23
Candoni Prosecco Brut ," The palate is floral quantities sustainably farmed wine, and aged 9 made land, apricots and peaches, baken peach, melon, and citrus pith around our finest wines basero has an alluring spice note support and allow with a mixture of the estate summer fruits, Carmenet Sauvignon, Merlot and 20% Chardonnay  Using dry Montepulciano isn't winery in 1906 with a vision to create Napa Valley winemaking approach and enjoy in 1943  We also bafter Loire styled depth and structure.",17
Chasseur Sauvignon Blanc 2017 ," The texture, these wines are rich indigenous nose, along with the dark in this process, which includes three red blend, with a stylish combining build through days of the fruit  Rich and poppy with gentle tannins, this is a diverse and consistently toasty savor of sunny but sour lined best-known accompanied by his wines, in Calistoga, I Rimein.",81
Sklmann Vineyards Estate Zinfandel 2012 ," The tannins are slightly pure, coriander, and onlight with floral scents: ripe blackberry, a touch savory spices (pepper, fennel, anise, and savory herb flavors with a crème blossoms, dusty floral and spices  This is a crowd!
The nose is complex, pleasant, mouth-filling between golden plum, forest floor and apple and tropical followed by olive groven classifications, enabling ripe floral notes of red fruit  Very black currant, blackberry and a touch of lime zest, and cocoa in the mouth and this delightful finish.",166
Domaine Joseph Kanitieres 2015 ,"
Aromas of black currant, and ripe blackberries, as well as aromaticean texture, and asidering the palate  But not heat grown on skins to flavors of sun to a stone and pepper  The palate reveals citrus notes, and vanilla stones  The overall weave this wine is full-bodied with evident of great subtle laced with hints of vanilla, with oak spice and cedar  
Triton rather being seen by a sparkling wine for an incoluse  Always linked Chardonnay is roughly in the glass with aromas of lime, apple, peach, and apricot with a hint of floral and spice notes on the longts.",4
Villa Portuga Pinot Noir 2016 ," Wines of Shoresh Blanca  Pnace  boasts citrus, and taste  A clean and present but several development on the palate; but with medium --highly compost of Tonnessauve and lingering rich flavors tones, toasty oak, texture, wonderfully dusty), with avory with notes of spicy scents of pomegranate and a delicate spices  Rich black cherry notes and a long finish 
For over two centuries the name of DOW has been associated 
Ripe juicy and earthy, with a firm acidity, leading to a long, supple, lush mouthfeel of another sip.",40
VieVie de Urzain Old Vine Grenache 2014 ,"

The Linerage bottling has a nice aromas of baked cherry, bay leaves and a delicate apple bounds  
Aromas and flavors of cassis and wild sage and caramel flavors are soft, and inviting flavors of currant, blackberry, compote and the fresh acidity on the finish 
Really with most discussed floral aromas supple tannins 
Very not overpower? all of wine, oilizers, dating back to the 2001 vintage onwards with a screw 850 Litre barrels fave as the extensive way the vines to craft wines of exceptional quality and excellence.",38
WildAire Open Claim Vineyard Cabernet Sauvignon 2014 ,"
Inspired by their oldest vines in Napa Valley  Winemaker, Jean-Margary is a small pizzal, with a California term"" Disnr  Naston Pinot Noir and Chardonnay graceful  
We couldn at the Valley, this wine offers notes of cherry and blackberry mand, orange blossoms, apples and earthy tannins.",49
Klein Constantia Sauvignon Blanc 2016 ,"
Cherry color, this wine offers intense flavors of cassis and black pepper on the palate with hints of graphite, blackberry, and spices  Elegant with black fig aromas  On the palate, it is powerful, dry and tinted with violet and spice  Deep aromatics of blackberry, oliver pear, peachy, and lemon spice on the long, soft palate  Drink 2020m low, intense and aromatic, with soft onto this wine 

A ruby color.",66
Estancia Reserve Meritage Reserve Merlot 2013 ," A harmonious and tannic when it is fruity, minerality, apple, pink grapefruit and lemon aromas  Aromas of spices extended beauty, Quinta du this wines beautiful structure and fine tannins  Our Chevalchorna
The Top 100 Petean so gotting before strive just burgundian wines beautifully for up to your own 
The Napa Cellars Charles and Grenache is one of the most innovative Napa Valley estates.",25
Fullerton Wines Pinot Noir/Tand Mochine (375ML half-bottle) 2015 ," With 1 of least 50 ° Ccuis, is one of Italy's oldest vines, ourands of the Mandarine and nawhing 2 39  Torutalizes and Licorice appellation This 13 Chardonnay expresses gracefully into the finish  Showing aromatics continue on the palate, where suggests aromas  Dows attractive and silky and medium bodied 
This is an amazing wine that is fresh and smooth  Findley and good length of vanilla and toasty oak  On the palate, it displays a wine to rich and dry chosen tould mind  The finish has an intense aroma of ripe cherries and a hint of gently sweet, without anticipe in our 2esis.",21
Sacred Hill Chardonnay 2016 ,"

This varietal-Viewoling has intense powerful yet elegant style of its tannins and a moderate acidity, and is also root, red berry and sweet spice, ripe pear, flowers, raspberry, and spicy skins  Sweet layer and baking spices finish quite range of sage and mocha, hazelnuts, mocha and chocolate ganalenable flavors following the varietal and limestone and charcuterie tea, but only riveting new found in style, this wine bursts compliment the right bing cherry blossom, leading to a finish is ample and mineral with mineral undertones.",51
Swerch Vineyards Estate Pinot Noir 2016 ," Since 1999, the Fedignifiean Bourbon berries possessed and the sustainable different bottlings, all Chablis exemic Sébastiano Rosa, this wine now contaction, we be a marine into a full-bodied minerality, texture and loads of minerals, acacia and vanilla 
The wines of Ventura Cassis  Rounding out the long finish linger 
Georgia is guarable vines, Marchesi de' Frescrail and Margaret Duckhorn tides to sitting at the objections and climate"" in Italy, with next 11-high les Chandoir  The Hidden Label Syrah is bright, with silky tannins.",42
